Название,Жанр,Режиссер,Страна,Год,IMDB
Интерстеллар," фантастика, приключения, драма", Кристофер Нолан ," Великобритания, США, Канада",2014 , 8.7 
1+1," комедия, драма", Оливье Накаш... , Франция,2011 , 8.5 
Начало," фантастика, боевик, триллер", Кристофер Нолан ," США, Великобритания",2010 , 8.8 
Джокер," криминал, драма, триллер", Тодд Филлипс ," США, Канада, Австралия",2019 , 8.3 
Бойцовский клуб, драма, Дэвид Финчер ," США, Германия",1999 , 8.8 
Побег из Шоушенка, драма, Фрэнк Дарабонт , США,1994 , 9.3 
Остров проклятых," детектив, драма, триллер", Мартин Скорсезе , США,2009 , 8.2 
Джентльмены," криминал, комедия, боевик", Гай Ричи ," Великобритания, США",2020 , 7.8 
Волк с Уолл-стрит," биография, комедия, криминал", Мартин Скорсезе , США,2013 , 8.2 
Форрест Гамп," драма, мелодрама", Роберт Земекис , США,1994 , 8.8 
Матрица," фантастика, боевик", Лана Вачовски... ," США, Австралия",1999 , 8.7 
Аватар," фантастика, боевик, драма", Джеймс Кэмерон ," США, Великобритания",2009 , 7.9 
Зелёная миля," драма, криминал, мистика", Фрэнк Дарабонт , США,1999 , 8.6 
Достать ножи," детектив, драма, комедия", Райан Джонсон , США,2019 , 7.9 
Криминальное чтиво," криминал, драма, триллер", Квентин Тарантино , США,1994 , 8.9 
Тёмный рыцарь," фантастика, боевик, триллер", Кристофер Нолан ," США, Великобритания",2008 , 9.0 
Джанго освобождённый," вестерн, драма, приключения", Квентин Тарантино , США,2012 , 8.5 
Зелёная книга," биография, комедия, драма", Питер Фаррелли ," США, Китай",2018 , 8.2 
Один дома," комедия, семейный", Крис Коламбус , США,1990 , 7.7 
Властелин колец: Братство кольца," фэнтези, приключения, драма", Питер Джексон ," Новая Зеландия, США",2001 , 8.9 
Стражи Галактики," фантастика, боевик, приключения", Джеймс Ганн ," США, Великобритания",2014 , 8.0 
Титаник," драма, мелодрама", Джеймс Кэмерон ," США, Мексика",1997 , 7.9 
Гарри Поттер и философский камень," фэнтези, приключения, семейный", Крис Коламбус ," США, Великобритания",2001 , 7.7 
Леон," боевик, криминал, драма", Люк Бессон ," Франция, США",1994 , 8.5 
Дэдпул," боевик, комедия", Тим Миллер , США,2016 , 8.0 
Паразиты," комедия, драма, триллер", Пон Джун Хо , Южная Корея,2019 , 8.5 
Пираты Карибского моря: Проклятие Чёрной жемчужины," фэнтези, боевик, приключения", Гор Вербински , США,2003 , 8.1 
Однажды в… Голливуде," комедия, драма, криминал", Квентин Тарантино ," США, Великобритания, Китай",2019 , 7.6 
Зверополис," мультфильм, боевик, приключения", Байрон Ховард... , США,2016 , 8.0 
Назад в будущее," фантастика, приключения, комедия", Роберт Земекис , США,1985 , 8.5 
Властелин колец: Возвращение короля," фэнтези, приключения, драма", Питер Джексон ," Новая Зеландия, США",2003 , 9.0 
Мстители: Финал," фантастика, боевик, приключения", Энтони Руссо... , США,2019 , 8.4 
ВАЛЛ·И," мультфильм, фантастика, приключения", Эндрю Стэнтон , США,2008 , 8.4 
Тёмный рыцарь: Возрождение легенды," фантастика, боевик, триллер", Кристофер Нолан ," США, Великобритания",2012 , 8.4 
